country_region,last_update,lat,long,confirmed,deaths,recovered,active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Senegal,5/8/2020 4:32,14.4974,-14.4524,1492,13,562,917,8.910691815,,,0.871313673,686,SEN
Serbia,5/8/2020 4:32,44.0165,21.0059,9848,206,2160,7482,112.7112621,,,2.091795288,688,SRB
Seychelles,5/8/2020 4:32,-4.6796,55.492,11,0,8,3,11.18568233,,,0,690,SYC
Sierra Leone,5/8/2020 4:32,8.460555,-11.779889,231,16,54,161,2.895830944,,,6.926406926,694,SLE
Singapore,5/8/2020 4:32,1.2833,103.8333,20939,20,1712,19207,357.9106387,,,0.095515545,702,SGP
Slovakia,5/8/2020 4:32,48.669,19.699,1445,26,806,613,26.466932,,,1.799307958,703,SVK
Slovenia,5/8/2020 4:32,46.1512,14.9955,1449,99,247,1103,69.69924942,,,6.832298137,705,SVN
Somalia,5/8/2020 4:32,5.152149,46.199616,928,44,106,778,5.838968179,,,4.74137931,706,SOM
South Africa,5/8/2020 4:32,-30.5595,22.9375,8232,161,3153,4918,13.87992215,,,1.955782313,710,ZAF
South Sudan,5/8/2020 4:32,6.877,31.307,74,0,0,74,0.661084434,,,0,728,SSD
Spain,5/8/2020 4:32,40.463667,-3.74922,221447,26070,128511,66866,473.6349648,,,11.77256861,724,ESP
Sri Lanka,5/8/2020 4:32,7.873054,80.771797,824,9,232,583,3.848084714,,,1.09223301,144,LKA
Sudan,5/8/2020 4:32,12.8628,30.2176,930,52,92,786,2.120901947,,,5.591397849,729,SDN
Suriname,5/8/2020 4:32,3.9193,-56.0278,10,1,9,0,1.704640372,,,10,740,SUR
Syria,5/8/2020 4:32,34.802075,38.996815,45,3,27,15,0.257133204,,,6.666666667,760,SYR
Taiwan*,5/8/2020 4:32,23.7,121,440,6,347,87,1.847437363,,,1.363636364,158,TWN
Tajikistan,5/8/2020 4:32,38.861034,71.276093,461,12,0,449,4.833479806,,,2.603036876,762,TJK
Tanzania,5/8/2020 4:32,-6.369028,34.888822,480,16,167,297,0.803559595,,,3.333333333,834,TZA
Thailand,5/8/2020 4:32,15.870032,100.992541,2992,55,2772,165,4.286534302,,,1.838235294,764,THA
Timor-Leste,5/8/2020 4:32,-8.874217,125.727539,24,0,21,3,1.82033036,,,0,626,TLS
Togo,5/8/2020 4:32,8.6195,0.8248,135,9,85,41,1.630683521,,,6.666666667,768,TGO
Trinidad and Tobago,5/8/2020 4:32,10.6918,-61.2225,116,8,103,5,8.28872783,,,6.896551724,780,TTO
Tunisia,5/8/2020 4:32,33.886917,9.537499,1026,44,600,382,8.681218058,,,4.288499025,788,TUN
Turkey,5/8/2020 4:32,38.9637,35.2433,133721,3641,82984,47096,158.551671,,,2.722833362,792,TUR
Uganda,5/8/2020 4:32,1.373333,32.290275,101,0,55,46,0.220808465,,,0,800,UGA
Ukraine,5/8/2020 4:32,48.3794,31.1656,13691,340,2396,10955,31.30533554,,,2.483383244,804,UKR
United Arab Emirates,5/8/2020 4:32,23.424076,53.847818,16240,165,3572,12503,164.1996279,,,1.016009852,784,ARE
Uruguay,5/8/2020 4:32,-32.5228,-55.7658,684,17,492,175,19.69066654,,,2.485380117,858,URY
Uzbekistan,5/8/2020 4:32,41.377491,64.585262,2298,10,1656,632,6.866014332,,,0.43516101,860,UZB
Venezuela,5/8/2020 4:32,6.4238,-66.5897,381,10,185,186,1.339853579,,,2.624671916,862,VEN
Vietnam,5/8/2020 4:32,14.058324,108.277199,288,0,233,55,0.295874453,,,0,704,VNM
West Bank and Gaza,5/8/2020 4:32,31.9522,35.2332,375,2,176,197,7.350900221,,,0.533333333,275,PSE
Western Sahara,5/8/2020 4:32,24.2155,-12.8858,6,0,5,1,1.004469891,,,0,732,ESH
Yemen,5/8/2020 4:32,15.552727,48.516388,25,5,1,19,0.083819576,,,20,887,YEM
Zambia,5/8/2020 4:32,-13.133897,27.849332,153,4,103,46,0.832247423,,,2.614379085,894,ZMB
Zimbabwe,5/8/2020 4:32,-19.015438,29.154857,34,4,5,25,0.228757095,,,11.76470588,716,ZWE
